Date,BTC-USD,ETH-USD,SOL-USD,BNB-USD
2024-02-05,42658.66796875,2298.888916015625,95.54866027832031,300.8540344238281
2024-02-06,43084.671875,2372.201904296875,96.86107635498047,302.71014404296875
2024-02-07,44318.22265625,2423.7451171875,100.97927856445312,307.63458251953125
2024-02-08,45301.56640625,2419.906494140625,102.78563690185547,318.87188720703125
2024-02-09,47147.19921875,2487.515625,106.93333435058594,323.84228515625
2024-02-12,49958.22265625,2658.115966796875,111.99275207519531,327.9446105957031
2024-02-13,49742.44140625,2642.185302734375,112.57930755615234,324.86822509765625
2024-02-14,51826.6953125,2777.90234375,116.97632598876953,334.2459716796875
2024-02-15,51938.5546875,2824.37890625,113.69940948486328,354.7108154296875
2024-02-16,52160.203125,2803.69140625,110.44591522216797,360.890380859375
2024-02-20,52284.875,3013.503662109375,108.45964050292969,354.8639221191406
2024-02-21,51839.1796875,2970.35546875,105.1252212524414,378.5373229980469
2024-02-22,51304.97265625,2971.00732421875,101.66979217529297,382.009765625
2024-02-23,50731.94921875,2921.658203125,99.95469665527344,375.319091796875
2024-02-26,54522.40234375,3178.99365234375,109.91853332519531,401.6438903808594
2024-02-27,57085.37109375,3244.519287109375,108.3880844116211,394.9956359863281
2024-02-28,62504.7890625,3385.703857421875,118.05220031738281,415.7716064453125
2024-02-29,61198.3828125,3341.919677734375,125.71151733398438,399.7787170410156
2024-03-01,62440.6328125,3435.053955078125,129.9904022216797,407.8107604980469
2024-03-04,68330.4140625,3630.433837890625,133.194580078125,419.0354309082031
2024-03-05,63801.19921875,3554.964599609375,125.70671081542969,394.6617431640625
2024-03-06,66106.8046875,3819.226318359375,130.7420196533203,429.011962890625
2024-03-07,66925.484375,3874.34765625,143.9778594970703,475.2906494140625
2024-03-08,68300.09375,3892.06103515625,145.2400360107422,488.09417724609375
2024-03-11,72123.90625,4066.445068359375,148.75096130371094,522.718017578125
2024-03-12,71481.2890625,3980.273193359375,151.01544189453125,537.86572265625
2024-03-13,73083.5,4006.45703125,163.83981323242188,630.5613403320312
2024-03-14,71396.59375,3883.140380859375,176.67974853515625,602.9887084960938
2024-03-15,69403.7734375,3735.22021484375,182.96469116210938,632.8027954101562
2024-03-18,67548.59375,3517.985107421875,195.9927520751953,554.55712890625
2024-03-19,61912.7734375,3157.6181640625,170.0162811279297,507.0765686035156
2024-03-20,67913.671875,3513.39306640625,191.54962158203125,556.7005004882812
2024-03-21,65491.390625,3492.9912109375,179.2207489013672,553.2482299804688
2024-03-22,63778.76171875,3333.68798828125,174.36370849609375,551.778564453125
2024-03-25,69958.8125,3590.8837890625,189.0835418701172,587.4276123046875
2024-03-26,69987.8359375,3587.5048828125,190.69985961914062,580.1505126953125
2024-03-27,69455.34375,3500.115234375,186.36146545410156,574.5115966796875
2024-03-28,70744.953125,3561.2939453125,189.6216278076172,583.2708740234375
2024-04-01,69702.1484375,3505.030029296875,192.5678253173828,576.3966674804688
2024-04-02,65446.97265625,3277.234619140625,181.17225646972656,550.6814575195312
2024-04-03,65980.8125,3311.44189453125,185.2486114501953,562.0196533203125
2024-04-04,68508.84375,3330.04052734375,183.95811462402344,585.4415283203125
2024-04-05,67837.640625,3318.88525390625,174.5015106201172,578.9669189453125
2024-04-08,71631.359375,3695.292724609375,180.78477478027344,586.9009399414062
2024-04-09,69139.015625,3505.163330078125,172.4136199951172,580.830322265625
2024-04-10,70587.8828125,3543.737060546875,173.43736267089844,610.0839233398438
2024-04-11,70060.609375,3505.247802734375,172.5763702392578,604.893798828125
2024-04-12,67195.8671875,3243.034912109375,153.63546752929688,596.380126953125
2024-04-15,63426.2109375,3101.600341796875,138.5086212158203,552.87451171875
2024-04-16,63811.86328125,3084.920166015625,136.27932739257812,537.829345703125
2024-04-17,61276.69140625,2984.7275390625,131.86618041992188,534.416015625
2024-04-18,63512.75390625,3066.027587890625,142.0823974609375,552.172119140625
2024-04-19,63843.5703125,3059.278564453125,142.6804962158203,554.8892822265625
2024-04-22,66837.6796875,3201.652099609375,157.03121948242188,605.5755004882812
2024-04-23,66407.2734375,3219.91162109375,154.70130920410156,606.8406372070312
2024-04-24,64276.8984375,3139.80517578125,147.74514770507812,608.0861206054688
2024-04-25,64481.70703125,3156.509521484375,144.89212036132812,614.0050048828125
2024-04-26,63755.3203125,3130.164794921875,139.10433959960938,597.7054443359375
2024-04-29,63841.12109375,3215.428955078125,137.7766571044922,592.8312377929688
2024-04-30,60636.85546875,3012.286865234375,126.96270751953125,578.488037109375
2024-05-01,58254.01171875,2969.78466796875,134.6279754638672,561.408203125
2024-05-02,59123.43359375,2988.16845703125,137.81448364257812,560.5267333984375
2024-05-03,62889.8359375,3103.5419921875,143.77255249023438,587.0104370117188
2024-05-06,63161.94921875,3062.728759765625,152.80239868164062,588.4759521484375
2024-05-07,62334.81640625,3006.5771484375,148.1343231201172,577.4862060546875
2024-05-08,61187.94140625,2973.6572265625,142.29473876953125,588.1974487304688
2024-05-09,63049.9609375,3036.0205078125,152.84994506835938,596.031982421875
2024-05-10,60792.77734375,2909.791259765625,146.21690368652344,585.6221923828125
2024-05-13,62901.44921875,2949.359619140625,147.28233337402344,591.60693359375
2024-05-14,61552.7890625,2881.157958984375,142.0303955078125,566.70703125
2024-05-15,66267.4921875,3037.056640625,158.18682861328125,582.0743408203125
2024-05-16,65231.58203125,2945.131103515625,159.116455078125,569.1902465820312
2024-05-17,67051.875,3094.11865234375,169.53054809570312,581.1783447265625
2024-05-20,71448.1953125,3663.85546875,186.52049255371094,600.6163330078125
